,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W2
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/24/2017 12:49:21
,     Stop Time: ~10/24/2017 13:49:21


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri7_H, Ri7_S, Ri8_H, Ri8_S, Vi7_H, Vi7_S, Vi8_H, Vi8_S, Di5_H, Di5_S, Di6_H, Di6_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


Total Counts,208.00,2500.00,450.00,3373.00,162.00,1563.00,226.00,1109.00,65.00,3068.00,3868.00,1652.00,

 13:27:23
Interval Count,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,208.00,2513.00,450.00,3373.00,162.00,1563.00,226.00,1109.00,65.00,3068.00,3868.00,1652.00,

 13:27:53
Interval Count,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.00,
Total Counts,208.00,2529.00,450.00,3373.00,162.00,1563.00,226.00,1109.00,65.00,3068.00,3868.00,1693.00,

 13:28:23
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,
Total Counts,208.00,2529.00,450.00,3373.00,162.00,1563.00,226.00,1109.00,65.00,3068.00,3868.00,1715.00,

 13:28:53
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,
Total Counts,208.00,2529.00,450.00,3373.00,162.00,1563.00,226.00,1109.00,65.00,3068.00,3868.00,1718.00,

 13:29:23
Interval Count,2.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,113.00,
Total Counts,210.00,2563.00,450.00,3373.00,162.00,1563.00,226.00,1109.00,65.00,3068.00,3868.00,1831.00,

 13:29:53
Interval Count,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,210.00,2563.00,450.00,3373.00,162.00,1570.00,226.00,1109.00,65.00,3068.00,3868.00,1831.00,

 13:30:23
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,
Total Counts,210.00,2563.00,450.00,3373.00,162.00,1570.00,226.00,1109.00,65.00,3081.00,3868.00,1831.00,

 13:30:53
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.00,0.00,0.00,
