,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W4
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/30/2017 15:19:20
,     Stop Time: ~10/30/2017 16:19:20


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, , , , , Vi11_S, Vi11_H, Vi12_S, Vi12_H, Di9_S, Di9_H, Di10_S, Di10_H,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,

Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,355.00,870.00,44.00,30.00,31.00,26.00,

 15:58:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,355.00,870.00,44.00,106.00,31.00,26.00,

 15:59:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,146.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,355.00,870.00,44.00,252.00,31.00,26.00,

 15:59:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,355.00,870.00,44.00,343.00,31.00,26.00,

 16:00:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,355.00,870.00,44.00,343.00,31.00,26.00,

 16:00:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,355.00,870.00,44.00,343.00,31.00,26.00,

 16:01:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,355.00,870.00,44.00,343.00,31.00,26.00,

 16:01:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,355.00,870.00,44.00,343.00,31.00,26.00,

 16:02:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,355.00,870.00,44.00,343.00,31.00,26.00,

 16:02:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,355.00,872.00,44.00,343.00,31.00,26.00,

 16:03:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,355.00,872.00,44.00,343.00,31.00,26.00,

 16:03:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97.00,0.00,123.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,355.00,969.00,44.00,466.00,31.00,26.00,

 16:04:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,355.00,969.00,44.00,546.00,31.00,26.00,

 16:04:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,56.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,355.00,972.00,44.00,602.00,31.00,26.00,

 16:05:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131.00,0.00,46.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,355.00,1103.00,44.00,648.00,31.00,26.00,

 16:05:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,355.00,1103.00,44.00,661.00,31.00,26.00,

 16:06:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,355.00,1103.00,44.00,695.00,31.00,26.00,

 16:06:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,21.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,376.00,1104.00,44.00,695.00,31.00,26.00,

 16:07:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,376.00,1107.00,44.00,695.00,31.00,26.00,

 16:07:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,227.00,378.00,1107.00,44.00,695.00,31.00,26.00,

 16:08:21
